text,type
"super thala, good explanation. easy to understand",tanglish
Print (c) kodu thala,tanglish
Bro very very thanks Anna. Monday exam na so thanks na nalla solli thanthinga 🙏🙏🙏,tanglish
Unga page la than python learn panre anna...nalla understand aaguthu😊ivlo naal unga page enaku theriyama poche nu regret panren ipo...romba thanks first time nana purinju program potathu unga page la learn panni than thanks ❤,tanglish
bro nanga program wrtie pandramari question and answer kodutha nalla irukkum,tanglish
தலைவா...vera level ninga...❤❤,tamil_english
@GayathriK-wd9pi  python nu pota varuma,tanglish
Thanks 🥰🥰anna ippo ennaku clear ah purithu,tanglish
நீ தான்டா teacher uh 💥,tamil_english
Romba easya solli thandhiga bro thank you so much....😊 Ongala mai oru sir scl la IT solli thara irundha ellarume nalla easya doubts illama padippaga....❤,tanglish
"thala romba nandri nalaa sollitharinga hats off

🔥🔥🔥🔥🔥",tanglish
"Thanks bro.  Clear teaching, made python as easy to everybody.  வாழ்க வளமுடன்",tamil_english
"Thanks Anna.
Anna computer basic only explain Anna next vedio",tanglish
Thanks anna 😊,tanglish
Thanks anna❤,tanglish
Thanks anna,tanglish
Nandri thala.,tanglish
Anna romba thanks Anna 🙏🙏🙏🙏,tanglish
Thanks Anna u r really great,tanglish
Na iruka thala😂,tanglish
Thanks Anna..it is very useful to me...I learn python clearly from your video..,tanglish
Thanks Anna it's very helpful,tanglish
"Intha channel  teaching nalla irukaa bro

Na innum pakala   ipothan start panirken",tanglish
"@AxleFreeky-ko2jx  and its sum bro, question nalla read pannunga",tanglish
"Thambi... Am 42 and i have no idea about any programming language... But the way u teach is like "" cha...python இவ்வளவு தான ""😂🤣Super bro... Let me know if you need any support to develop your channel to next level.. Ill help you. 🤗😘😘do u have any institute bro??shall we start an institute thambi... Am up for it👍👍let me know.",tamil_english
Vanakkam thala😢😢😂😂😂,tanglish
சூப்பர் ப்ரோ very usefull,tamil_english
"Thanks Anna  clearly explained python language learned 
How to create a project using python  ideas  video podunga anna.",tanglish
"@allroundermathavan5299  Haa bro, basic nalla purinchithu...👍",tanglish
Super sir,tanglish
"Thalaiva....
Vera maari semmaya iruku
After finishing what to do thala?? 😢",tanglish
Python படிக்க முதல் என்ன படிக்க வேண்டும்  கணிதம் கற்றவர்களா python படிக்க முடியும்,tamil_english
Best chennal நீங்க தான் bro தெளிவா சொல்லுறிங்க ❤️❤️,tamil_english
bro idha software windows 8.1 ku varuma?,tanglish
Super bro எல்லோருக்குமே  புரியும் படி மிகத் தெளிவா நிறுத்தி நிதானமாக சொல்லிக் கொடுக்கிறீர்கள் 👍👍,tamil_english
Thanks Anna❤,tanglish
Thanks Anna !!! I learnt lot of things about html and am eager to learn more things ✨,tanglish
​ @ErrorMakesClever  bro ivolo fast ah poringaley but okay than innu konjam slow pona nalla irukum😁,tanglish
"Bro Nan bsc 2017 la mutichen
Ana ithunvaraikum Nan program try pannathu illa yenaku varathunu vittuten 

Namum pakkatha work illa ippo load man work poitu iruken poitu vanthu onga class than papen

En mapla onga video anupi itha pathu katthukitta pothum work kitachirunu sonnan 

Ninga super bro rompa nalla purira mathiri nalla teach panringa bro 

Thank you so much bro
  html kathukiten next css pakka poren",tanglish
Thanks anna.. ✨,tanglish
@ErrorMakesClever  உங்கள் சேவை மகத்தானது தொடர்ந்து வெற்றி பெற்ற என் மனமார்ந்த வாழ்த்துக்கள்,tamil_english
bro really vera level bro . unga vedios pataley coding patti nalla knowledge kidaikudu bro,tanglish
Thanks Anna it's very helpful 😇,tanglish
Superb thala🎉,tanglish
Usefull this video in poor knowledge student I am also and very lot of thanks anna👍,tanglish
Super explanation bro ✨❤ nalla crystal clear aa soninga,tanglish
Very very thanks anna❤,tanglish
Thanks anna❤,tanglish
bro u vidos partha nalla irunthikku,tanglish
Romba thanks anna❤❤,tanglish
nalla clear ah solli thariga ...easily i got understand. thank you brooo,tanglish
Evlo Nalla explaination ku thanks bro,tanglish
Thanks for this video anna❤❤❤❤❤❤,tanglish
Bro website ku potamaariye.... application nu epdi built panrathunu oru video podunga bro....unga video la nalla understand aguthu bro,tanglish
"Awesome tutorial bro. Innum konjam nerya content pathi solli irukkalam bro...but....sonna contents ah pakkava super and clear ah soneenga, romba thanks bro❤🎉😊  Innum irukka html contents ah 2nd part ah kodutheenga na nalla irukkum. Anyways, hats-off bro🫡👌",tanglish
❤இந்த YouTube பக்கத்தை தொடரும் நீங்கள் மிகவும் கொடுத்துவைத்தவர்கள். சரியான ஆசிரியரை தேர்ந்தெடுத்திருக்கிறீர்கள்👌. இந்த வாய்ப்பை பயன்படுத்தி நன்றாக கவனித்து படியுங்கள். பயன்பெறுங்கள். வாழ்கையில் முன்னேறுங்கள். வாழ்த்துக்கள் 💐,tamil_english
very useful sir.....react js videos upload panna nalla irukum....the way u explain everything makes even easier ...:face-red-heart-shape::face-red-heart-shape:,tanglish
thanks anna,tanglish
Hello bro fulla paathen nalla vea understand aachi thnks for upld this viedo  nd oru req bro konja fast aa pora maari iruku yethuku sollren na oru program type pannitu athu enna fulla paakurthukulla web page la refresh panni paapom poiringa total video duration 1 hr 39 min but naa replay panni replay panni 2 hr meala paathurupen ithu sollanum thonuchi avlo than  intha comment aa paapingala therila sollanum thonuchi,tanglish
Onga teaching nalla understand aaguthu 😊,tanglish
Vera level thala,tanglish
Thanks anna❤,tanglish
"Thank you soo much Anna.... Prefect Explanation and ninga solla solla naanum try pannathala proper ah yellam understand pannika mudinchathu, Thanks a lot Anna...",tanglish
"THANKS A LOT BRO
it was a very useful tutorail to me bro,but pls teach the entire front end developing courses...CSS ,BOOTSTRAP, JAVA SCRIPT, REACT JS..
ennodaya career ku useful aah irukum...na oru confusion la irunthan antha field porathu nu but neega ippadi nalla theliva solli kudukurapa front developer aagulam nu idea kidachuthu...so pls consider my request bro & pls put the videos which all i have asked for...THANK YOU",tanglish
Unga teaching super ah iruku bro unga kita online la full stack developer course pananum iruntha but single payment tha pananum solranga bro 2 installment kodutha rompa nalla irukum bro na la house wife irunthutu panra full payment konjam kastam bro,tanglish
"Bruh PPT konjam pota nalla irukom 
Download panni reference vachu pom",tanglish
Thanks you soo much bro romba cleara soli taringa 🥰iniku  Fullstack development la 1st nal bro romba nalla understand ayichu,tanglish
Thanks anna,tanglish
"Anna neenga teach pandradhu nalla puriyuthu.
So,plz java programming language um videos pottunga",tanglish
Thala thala vera level,tanglish
Thanks Bro romba nalla solli kudukingra,tanglish
vera marii thala,tanglish
Thala maja va solli thara! athey mari PHP kum oru video potu vidu thala,tanglish
Arjun das javascript சொல்லிகுடுத்த இப்படித்தான் இருக்கும்...,tamil_english
Nan innum college je join panala bro but unga videos path tha skills develope panuren.. elame nalla easy ya puriyutha mari iruku bro.. thank you..,tanglish
React js angular js ellam pota nalla irukum bruh,tanglish
Thala na python 9 hrs video va 9 masama 6 mani tha paathurukken ethalaam enga poi silla 😂😂😂,tanglish
Super explanation thank you sir..,tanglish
thanks anna,tanglish
நான் exam முடிச்சிட்டு வீட்டுல free யா தான் இருக்கன். எனக்கி என்ன செய்ற எண்டு விளங்குது இல்ல. Web development செய்றதுக்கு விருப்பம் but  future la work இருக்கா ? இது நல்லமா?,tamil_english
@internezycommunity  ok bro thanks 👍 but unga way of explaining is enaku romba nalla ithu i like it,tanglish
1:05:55 செம்ம explanation,tamil_english
Yow mid night 3 maniku pakren indha video va semma interesting and not bore and so informative.... Vera level thala nee.... 😅,tanglish
Anna semaiya teach panriha na...neha new app build pani nalla samparihala try panuha....i like this javascript because ur teaching very well ..sema interest ha iruku ...tq anna,tanglish
Bro antha student form try pani parthen crt ahh varala konjam reference iruntha nalla irukum,tanglish
யாரெல்லாம்  JAVA வீடியோயுக்காக கத்திருக்கிங்க,tamil_english
Thanks anna 😊😊,tanglish
Thala next react js pls,tanglish
"Dheivamae apdiyae React js um,php um potina nalla irukum...",tanglish
Python model questions konjam potta nalla erukkum,tanglish
"Anna nenga irukarathu nalla yenaku romba romba easya html css js kathukitta romba romba thanks
And finally last request anna c & c++
Video poduvigala",tanglish
Java programming matum podala .😢 Adhum potta nalla irukum,tanglish
Unga python video enaku romba nalla understand achi.. thanx a lot. Nan 3000 pay panni python padichen apa kuda enaku ivlo puriyala. Ipa rombaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa easy a understand achi.. next python advance podunga bro,tanglish
Most awaited video bro adpiye angular js um potta nalla irukum,tanglish
TQ thala,tanglish
Thanks anna,tanglish
"Anna Thank You So much Anna now I completely understood how to make perfect resume 
Thanks a lot Anna🙏🙏🙏🙂",tanglish
Kadavule 🙏🏻❤ ipothan konjam nimmathiya iruku. Nalla puriyara maathiri solreenga bro. Romba nandri 🙏🏻❤en deivame.,tanglish
Thanks so much anna for giving use Full video ❤,tanglish
Indha file link kudutha  nalla irukum 🙂,tanglish
Bro na automobile engineering finish panniruken 2yrs experience iruku design certified agiruken but ennoda ah resume eppdi panna nalla irukum slunga,tanglish
Anna unga Ella  videos um vera level ha irukku Anna... romba thanks Anna...I have a lot of information for your video bro .... thankyou so much bro...✨,tanglish
Pakka thala,tanglish
Mechanical Engineer Kki Intha Mathiri Skills Project lam yappadi podalam nu oru idea kudutha nalla irukkum bro 🥲,tanglish
thanks anna .. intha video rombave useful-la irunthuchu.. 😇,tanglish
நிஜமாகவே super brother,tamil_english
Thanks You so much Anna... your best,tanglish
Jii subscribe pannite ji... Ippo dha resume thedune neengale vandhutinge... Nandri thala🎉,tanglish
Very super👌explanation of resume making .I well learned 👍Thank you Sir,tanglish
Thanks Anna its useful to prepare resume myself 😊,tanglish
Super explain  video thank you  sir,tanglish
Excel ku nalla Tamil channel sollungo bro,tanglish
Super sir 👍🏻well explained .You have cleared doubts of a student about jobs in a good manner,tanglish
Thanks Anna... 🥰,tanglish
Ellarum template soldrangale thavira ipdi yaarum make panni kaatunathilla bro...ipo ungalodatha paathu thn enakku nalla purinjithu...Thank you so much for this video 💥,tanglish
Bro python series madri java Kum poduga romba helpful ahh irukum or nalla youtube channel sollunga bro indha video la solli iruka madri,tanglish
"unna naaa engaiyo pathuruken ..
itha koral ah nalla kturuken....
 un name enna??
PDKT ah neee???
jaxio, mounzion schl ,neeethanea athu???",tanglish
Bro romba thanks unga video romba useful ahh irukku naa eppovume yosippen eppadi oru vishiyam seiradhu nu adhukku oru nalla tutorial video irundha nalla irukkum nu yosikkum bodhu correct ahh notification varum unga channel la irundhu neenga correct ana time la correct ahh videos podringa unga dedication and hardwork kandippa succes kudukkum and engala pola college students Kum romba helpful ahh irukku romba thanks bro..❤,tanglish
Anna... How to download this resume or else oru nalla free online resume template downloader sollungaa..❤️‍🩹,tanglish
Romab nalla performance panringe sir,tanglish
"Matha youtubera own content ku padila promotions, podcast ellam pannuvaanga neegalum kalakunga thala. Waiting for biggest comeback
First podcast Thalapathy Vijay Kooda venum❤️",tanglish
Unga Channel Laya Kooda Views poona Oru Video idhu. Idhu poola Nalla bass boosted prty song 3 month ku oruka own write panni poofunga video simple. You have a talent about information. World is short❌. World is big✅,tanglish
"Intha song na kekum pothu my mind
1st time - nalla thaan iruku🥰🤩
2nd time - vera level💥
3rd time - addicted❤
MG🖖",tanglish
Super thala,tanglish
2023 may  today 31 by time traveler nalla than erukku,tanglish
Thala 🔥,tanglish
Thala nee tha next chief Minister,tanglish
Hi thala song vera level,tanglish
Nallave illa thala 🤮,tanglish
Dailyum intha songa kekuran ana song konjam perusu iruntha innum nalla irukum,tanglish
Bro comdy a irunthalum .nalla point irukura song bro .semma,tanglish
Thala vera level ponga 👌🤣😍❤️,tanglish
Yarllam Instagram la reals பார்த்துட்டு one year ஆகிட்டா இல்லையான்னு பாக்க வந்திங்க 😄😁😁😁,tamil_english
Ipo thaan pakuren semma peppy ya iruku thala,tanglish
Vera level thala,tanglish
"வசனம்  mari iruku bro song,",tamil_english
Podra thala,tanglish
Nalla ketta dhanush voice 😘😘vera marri🥳,tanglish
@ 0:2 to 0:8 Jolly ho jymkano paatil varum music ஐ munbae kanithar mg vro,tamil_english
Vera mari thala🥳🥳🥳🥳🥳🥳🥳🥳🥳,tanglish
2.52  vera level thala,tanglish
THALAIVA NE EPPOME VERA LEVEL SUPPER THALA,tanglish
Congrats thala for 6million you grow more bigger,tanglish
Enna thala ippatei erankita,tanglish
மாஸ் bro,tamil_english
"என்ன மாரி ஒரு சின்ன
youtuberக்கு உங்க ஆதரவு
தாங்கள் pls........😣😣😥😓😭😭😭",tamil_english
"என்ன மாரி ஒரு சின்ன
youtuberக்கு உங்க ஆதரவு
தாங்கள் pls........😣😣😥😓😭😭😭",tamil_english
"என்ன மாரி ஒரு சின்ன
youtuberக்கு உங்க ஆதரவு
தாங்கள் pls........😣😣😥😓😭😭😭",tamil_english
தலைவா... Caller tune ல இல்ல தலைவா... உன் பாட்டு... வேணும் தலைவா.. வேணும்... உன் பாட்டு caller tune ல வேணும்..,tamil_english
கடைசில..மதன்..ஒரு..நடிகன்..அம்புட்டுதா...இந்த..பாட்டுல..வர்ர..ஒரு..லையின...பொய்யாகிட்டாரு...நம்ம..MG...ஸாரி...லவ்வர்..பாய்....MG 😌,tamil_english
இந்த பாட்டை பாடியே EX ah again crct pannitiyae madhan uh .. ANYWAYS HAPPY MARRIED LYF in advance 😀😌😄🤐,tamil_english
Vera Mari thala,tanglish
Bro நீங்க இவ்ளோ பெரிய singer nu இப்பதான் தெரியும்😉😅😂😆Super bro joe biden and elon musk will hear that time both will die 😂😂😂😂😂,tamil_english
Bro thala sama vara mari epdi thalaiva endha rhyming,tanglish
Yana thala padupada erangida,tanglish
Summavum solla mattan bro nalla irukkendu.nalla illa bro,tanglish
Super thala,tanglish
Super thala,tanglish
Nalla thumbnail vaiga bro,tanglish
Nalla thumbnail vaiga bro,tanglish
Nalla thumbnail vaiga beo,tanglish
Nalla thumbnail vaiga bro,tanglish
Inna thala.... Vera level❤️👌,tanglish
Thala  lyrics is super,tanglish
Vera level thala,tanglish
Konjam overacting less panna nalla irukum bro,tanglish
😂😂😂 nalla irunthuthu anna,tanglish
Innah thala🤨🤭,tanglish
Ivvaru Yeppa Ippadi மாறுனாரு,tamil_english
