video_id,text,type
ke9h9BbG6No,"கிரேட். நீங்க geneious. Cheap and best middle class ku 55""  டிவி  எதுன்னு வீடியோ போடுங்க",code_mixed
ke9h9BbG6No,P o led efficient a இல்லையா? Durable இருக்குமா?,code_mixed
ke9h9BbG6No,தெளிவான விளக்கம்!,pure_tamil
ke9h9BbG6No,உங்களைப் போல் விளம்பரப்படுத்த யாராலும் முடியாது 😂,code_mixed
ke9h9BbG6No,Edge display உபயோகம் என்ன விளக்கம் கிடைக்குமா bro,code_mixed
ke9h9BbG6No,"Assalamu alaikkum warahmathullahi wa barakathuhu 
உங்கள் 📹  எளிமையா புரியுது 
என்னோட தேவை inverter la இருந்து பேட்டரி சார்ஜ் ஆக கூடாது 
கரணம் solar பயன் படுத்துக் கொண்டு இருக்கிறேன் 
அதுல இருந்து charge ஆக வேண்டும் அதே நேரத்தில் current cut aahuna ups on aahanum
அதுக்கு உங்களால் முடிந்தால் video ஒன்று podavum",code_mixed
ke9h9BbG6No,எனது கேள்வி. கூலெட். ரி வீயும் அப்படித்தானா ? பதில் தரவும்,pure_tamil
ke9h9BbG6No,இதுக்கு மேல தெளிவா மேனுஃபாக்சரிங் பன்னவணாலும் சொல்ல முடியாது cheers bro,code_mixed
ke9h9BbG6No,தம்பி நீங்கள்! இப்படியெல்லாம்  வீடியோ போட்டால் அந்த டிவி தயாரிப்பாளர்கள் உங்களை சும்மா விடமாட்டாங்க!,pure_tamil
ke9h9BbG6No,"என்னடா இது பித்தலாட்டம், நாம use பண்ணுற மொபைல் display almost oled or amoled தான். Oled never creates black images, they off the particular area led's. First study well",code_mixed
ke9h9BbG6No,சூப்பர் சூப்பர் சூப்பர் சூப்பர் சூப்பர் சூப்பர் சூப்பர்,pure_tamil
ke9h9BbG6No,பைக்கில் உள்ள டைனமோ வில் வரும் மின்சாரத்தின் அளவு என்ன என்பது பற்றி விளக்கவும்,pure_tamil
ke9h9BbG6No,"அண்ணா வணக்கம்
AC or DC  டைனமோ எளிதாக செய்வது எப்படி என்று வீடியோ போடுங்கள்",code_mixed
ke9h9BbG6No,நீங்க சொல்ற தெளிவு இவரை யாரும் சொன்னதில்லை நன்றி 🙏ஆனா எது பெஸ்ட் என்று சொல்லவே இல்லையே  சொன்ன டிவி வாங்கும் மக்களுக்கு ஒரு நல்ல செய்தியாக இருக்கும்.,code_mixed
ke9h9BbG6No,Oled  டிஸ்ப்ளே பற்றி பேசும்போது சம்பந்தமே இல்லாத பேச்சை ஏன் பேசுகிறாய்,code_mixed
ke9h9BbG6No,கீயு எல்டி டிவி வாங்கலாமா,pure_tamil
ke9h9BbG6No,கண்ண மூடிகிட்டு சொல்ல முடியும் உங்கள் video பார்த்தாள் எந்த technology  புரிஞ்சிக்க முடியும்  anna,code_mixed
ke9h9BbG6No,எத்தனை லட்சம் குடுத்து இந்த TV எல்லாம் வாங்கினாலும் ரிப்பேர் ஆகி சரிபண்ண முடியாத நிலைமைக்கு போகும்போது பழைய இரும்புக்கு போட்டா 150 ரூபாய்தான் இதே பழைய TV 1000 ரூபாய்க்கு மேல் போகும்.,code_mixed
ke9h9BbG6No,Crt யை தவிர எந்த டிஸ்ப்ளேயும் இரண்டு வருடத்துக்குமேல் உழைக்காது! இதனால்தான் வருடத்துக்கு ஒரு புது டெக்னாலஜி  கொண்டு  வாரங்க!,code_mixed
ke9h9BbG6No,அண்ணா அருமை அருமை,pure_tamil
ke9h9BbG6No,"உங்களுடைய வீடியோ அனைத்தையும் நான் பார்த்துள்ளேன் உங்களுடைய விளக்கம்  அருமையாக உள்ளது.
மென்மேலும் வளர வாழ்த்துக்கள் நன்றி!",pure_tamil
ke9h9BbG6No,அப்படி என்றால் எந்த டிவியை தான் வாங்குவது?,pure_tamil
ke9h9BbG6No,அருமையான விளக்கம்  புரோ..,pure_tamil
ke9h9BbG6No,"LED TV வாங்கும் போது என்ன விசயங்கள் பார்க்க வேண்டும்
For ex: Nits, output speaker watts, refreshing rate இதை பற்றி ஒரு வீடியோ போடுங்கள் நண்பரே",code_mixed
ke9h9BbG6No,சூப்பர் சார்,pure_tamil
ke9h9BbG6No,காணொளி முடிவில் Conclusion or Your Openion என்ன என்பதை சொல்லுங்கள் சகோ.,code_mixed
ke9h9BbG6No,உங்கள் வீடியோ மிகவும் நன்றாக இருக்கிறது   நீங்கள் கொடுக்கும் விளக்கம் அருமையாக இருக்கிறது  தற்போது நடைமுறைக்கு வர இருக்கும் புதிய 5G தொழில்நுட்பத்தைப் பற்றி வீடியோ போடவும்    நன்றி.,code_mixed
ke9h9BbG6No,"Sir, oled display cost 80% of cost of the tv, இதே மாதிரி மொபைல் Processor Price solla முடியுமா",code_mixed
ke9h9BbG6No,இப்போது நிறைய ஸ்மார்ட் வாட்ச் வருகிறது இதை வாங்குவதால் நமக்கு பயன்உள்ளதா அதை பற்றி ஒரு காணெளி பதிவிடுங்கள்,pure_tamil
ke9h9BbG6No,"மாஷா அல்லாஹ் நல்ல தெளிவான முறையில் விளக்கம் இருந்தது,👌👌👌",code_mixed
ke9h9BbG6No,சரியா சொன்னீங்க நான் யூஸ் பன்ன அனைத்து LED மொபைல் போன்களின் டிஸ்ப்ளேகள் அனைத்தும் பழுதாகிவிட்டது.இப்போது நான் Ips Lcd டிஸ்ப்ளே மொபைல் போன்கள் யூஸ் பன்றேன் நன்றாக இருக்கிறது,code_mixed
ke9h9BbG6No,@மண்ணின்மைந்தன்-ள1ம  who created Allah boy??,code_mixed
ke9h9BbG6No,"@மண்ணின்மைந்தன்-ள1ம  go watch Mr.Gk,mudivili channels for good understanding of science...throw your quran in garbage and start learning the truth buddy",code_mixed
ke9h9BbG6No,@மண்ணின்மைந்தன்-ள1ம  you can't bro,code_mixed
ffQjY5H4RUY,"தெளிவா புரிய வைக்கிறிங்க செம, நன்றி.",pure_tamil
ffQjY5H4RUY,அருமையான விளக்கம் நெடுநாள் சந்தேகம் விலகியது...,pure_tamil
ffQjY5H4RUY,அருமையான பதிவு,pure_tamil
ffQjY5H4RUY,நீ அல்லாவா எனக்கு பொறியியல் வாத்தியாரா வந்துருக்கணும்..,pure_tamil
